funding_total_usd,country_code,city,funding_rounds
525000.0,NorthAm,Sunnyvale,2.0
800000.0,NorthAm,Portland,1.0
1600000.0,NorthAm,Quincy,1.0
3750000.0,AS,Guangzhou,2.0
1719583.0,EU,Geneva,2.0
6000000.0,NorthAm,Boca Raton,1.0
75000.0,SouthAm,Curitiba,1.0
133620.0,EU,Bolzano,1.0
35000.0,NorthAm,New York,1.0
500000.0,NorthAm,West Roxbury,2.0
9311190.0,NorthAm,Rockville,4.0
7289000.0,NorthAm,San Mateo,3.0
750000.0,NorthAm,Pullman,1.0
1465000.0,NorthAm,Ann Arbor,2.0
16674.0,EU,Maastricht,1.0
500000.0,NorthAm,Quincy,2.0
380000.0,NorthAm,Longwood,2.0
503000.0,NorthAm,Longwood,2.0
350000.0,NorthAm,New York,1.0
4500000.0,EU,Amsterdam,2.0
1200000.0,EU,London,2.0
7500.0,NorthAm,Chattanooga,1.0
240000.0,NorthAm,Seattle,2.0
99000000.0,NorthAm,San Diego,4.0
1168005.0,EU,Cesson-sévigné,1.0
909940.0,NorthAm,Minneapolis,3.0
169500000.0,NorthAm,Rock Hill,3.0
150000.0,NorthAm,Ann Arbor,1.0
16399999.0,EU,Dublin,1.0
400000.0,NorthAm,Redwood City,1.0
1250000.0,NorthAm,Lauderhill,1.0
701760.0,EU,Tourcoing,1.0
1880000.0,NorthAm,New Haven,4.0
1150000.0,NorthAm,El Segundo,2.0
50000.0,Other,Ljubljana,1.0
202250.031601567,EU,Wildegg,1.0
2670000.0,EU,Miass,2.0
30000.0,Other,Amman,1.0
3000.0,NorthAm,Chatham,1.0
4247128.0,NorthAm,Salt Lake City,3.0
7436500.0,NorthAm,Louisville,2.0
2065000.0,AS,Bangalore,2.0
140000.0,NorthAm,Scottsdale,1.0
1387500.0,NorthAm,New York,2.0
1700000.0,Other,Budapest,2.0
2249999.0,NorthAm,San Francisco,2.0
20000000.0,NorthAm,Seattle,1.0
746185.0,AS,Beijing,2.0
13708150.0,AS,Guangdong,3.0
4000000.0,NorthAm,San Francisco,1.0
65000000.0,NorthAm,Santa Clara,3.0
500000.0,EU,London,2.0
148000000.0,NorthAm,Fremont,3.0
25920000.0,NorthAm,Fairfax,4.0
17500000.0,NorthAm,Manhattan Beach,1.0
1011601.0,NorthAm,Cambridge,3.0
1500000.0,NorthAm,Salt Lake City,1.0
50000000.0,EU,Plymouth,1.0
1000000.0,AS,Tokyo,1.0
1394250.0,EU,Mougins,1.0
5000000.0,NorthAm,San Francisco,2.0
7063012.0,NorthAm,San Francisco,4.0
2000000.0,NorthAm,Austin,1.0
13000000.0,NorthAm,Malvern,1.0
1670000.0,NorthAm,Santa Clara,1.0
15000000.0,NorthAm,Seattle,3.0
272000.0,EU,Athlone,1.0
50958896.6114209,EU,Blackrock,2.0
64567194.0,NorthAm,San Francisco,7.0
26000000.0,NorthAm,Sunnyvale,1.0
3393925.0,NorthAm,Columbus,2.0
163934.0,AS,Tianhe,1.0
100000000.0,AS,Seoul,1.0
2374979.0,NorthAm,Stevenson,6.0
1000.0,Other,Ramotswa,1.0
228187.783333164,EU,London,1.0
81000.0,NorthAm,San Diego,1.0
1050000.0,NorthAm,Atlanta,3.0
750000.0,NorthAm,Baltimore,1.0
38064570.0,NorthAm,San Jose,4.0
1000000.0,NorthAm,Tucker,1.0
1000000.0,NorthAm,Woodinville,1.0
17400000.0,NorthAm,San Francisco,4.0
2258720.0,EU,Kista,1.0
450000.0,NorthAm,La Plata,1.0
485841.245076705,EU,Uppsala,2.0
49656999.0,NorthAm,Watertown,5.0
450000.0,NorthAm,Smithtown,1.0
20900.0,NorthAm,Conway,1.0
1160000.0,NorthAm,Menlo Park,2.0
6999995.0,NorthAm,Emeryville,1.0
500000.0,NorthAm,Halifax,1.0
3378975.0,NorthAm,Herndon,1.0
22000.0,NorthAm,Sarasota,1.0
9416354.0,NorthAm,Sunnyvale,6.0
320288000.0,NorthAm,San Mateo,8.0
500000.0,AS,Tokyo,1.0
60000000.0,NorthAm,Pittsburgh,5.0
6500000.0,Other,Bucharest,3.0
100000.0,EU,London,1.0
10000000.0,AS,Guangzhou,1.0
10511317.0,EU,Planegg,1.0
50000.0,NorthAm,Stanford,1.0
7000000.0,NorthAm,Waltham,1.0
1121078.0,EU,Sunderland Bridge,4.0
50000.0,NorthAm,New York,1.0
762500.0,SouthAm,São Paulo,1.0
95445.0,EU,Kent,1.0
250000.0,NorthAm,Morrisville,1.0
15000.0,NorthAm,Dallas,1.0
3500000.0,AS,Shanghai,1.0
740000.0,NorthAm,New York,2.0
180000.0,NorthAm,Fort Lauderdale,1.0
2013000.0,NorthAm,Mountain View,1.0
12900000.0,NorthAm,San Francisco,6.0
22325000.0,NorthAm,Toronto,7.0
5000.0,Other,Yaba,1.0
27000000.0,AS,Shanghai,3.0
9300000.0,AS,Jinhua,3.0
10000000.0,AS,Beijing,2.0
16000000.0,AS,Beijing,1.0
1158814.0,AS,Beijing,2.0
10000000.0,AS,Shanghai,1.0
65100000.0,AS,Beijing,4.0
1500000.0,AS,Beijing,2.0
65000000.0,AS,Hangzhou,3.0
1000000.0,AS,Shanghai,1.0
234705.0,EU,Munich,3.0
200000000.0,AS,Beijing,2.0
30000000.0,AS,Guangzhou,2.0
876780000.0,AS,Chaoyang,6.0
